Data do Pagamento,Tipo Produto,Nome,WhatsApp,Quantidade de vezes,Valor parcela,Vendedor,Comentarios
11/11/24,Completa,Fernanda Gomes Ibrahim Campos,(11) 99123-4567,18," R$   1.834,66",Thiago,
22/11/24,Completa,Patrícia Zanetti Jardim Campos Souza,(21) 99234-5678,6," R$        641,33",Thiago,
18/11/24,Completa,Eduardo Yamada Dias Vieira Nogueira,(43) 99345-6789,18," R$   1.879,30",Thiago,
22/10/24,Completa,Thiago Lopes Xavier Queiroz,(51) 99456-7890,18," R$   1.831,83",Thiago,
20/10/24,Completa,Vanessa Yamada Farias Krause Teixeira,(61) 99567-8901,6," R$        645,73",Thiago,
1/11/24,Completa,Natália Oliveira Vieira Lopes Nogueira Costa,(71) 99678-9012,6," R$        638,48",Thiago,
1/10/24,Completa,Patrícia Machado Teixeira Zanetti Ibrahim Queiroz,(81) 99789-0123,12," R$   1.239,66",Fernanda,
7/10/24,Completa,Kleber Nogueira Costa Teixeira Silva Esteves,(91) 99890-1234,18," R$   1.834,00",Thiago,
6/11/24,Completa,Helena Oliveira Nogueira Esteves Zanetti,(11) 99111-2222,6," R$        648,10",Fernanda,
9/11/24,Completa,Fernanda Rodrigues Costa Uchoa Almeida,(21) 99222-3333,6," R$        625,15",Fernanda,
7/11/24,Completa,Helena Pereira Zanetti Souza Esteves Wanderley,(43) 99333-4444,12," R$   1.259,10",Fernanda,
11/11/24,Completa,Rafael Campos Nogueira Queiroz,(51) 99444-5555,12," R$   1.220,16",Fernanda,
11/11/24,Completa,Natália Xavier Ferreira Nogueira Queiroz Uchoa,(61) 99555-6666,6," R$        634,78",Fernanda,
14/11/24,Completa,Vanessa Queiroz Teixeira Almeida Xavier Esteves,(71) 99666-7777,6," R$        632,19",Fernanda,
14/11/24,Completa,Kleber Barros Campos Almeida Nogueira,(81) 99777-8888,18," R$   1.815,02",Fernanda,
14/11/24,Completa,Natália Gomes Zanetti Silva,(91) 99888-9999,12," R$   1.217,55",Fernanda,
18/11/24,Completa,Larissa Xavier Nogueira Oliveira Esteves Barros,(11) 99123-4567,6," R$        693,90",Fernanda,
18/11/24,Completa,Gabriel Cardoso Rodrigues Pereira Krause Ibrahim,(21) 99234-5678,12," R$   1.286,70",Fernanda,
21/11/24,Completa,Vanessa Esteves Barros Nogueira Jardim Henrique,(43) 99345-6789,12," R$   1.218,84",Fernanda,
22/11/24,Completa,Helena Krause Barros Lopes,(51) 99456-7890,12," R$   1.235,30",Thiago,
18/11/24,Completa,Marcos Cardoso Esteves Pereira Jardim Ibrahim,(61) 99567-8901,6," R$        619,28",Fernanda,
22/11/24,Completa,Vanessa Costa Ibrahim Dias,(71) 99678-9012,6," R$        633,27",Fernanda,
24/11/24,Completa,Patrícia Barros Teixeira Machado,(81) 99789-0123,18," R$   1.839,39",Fernanda,
24/11/24,Completa,Carlos Campos Xavier Machado Queiroz,(91) 99890-1234,6," R$        631,54",Fernanda,
25/11/24,Completa,Gabriel Ferreira Campos Wanderley,(11) 99111-2222,6," R$        621,88",Fernanda,
26/11/24,Completa,Igor Almeida Farias Xavier Queiroz,(21) 99222-3333,12," R$   1.214,57",Gustavo,
26/11/24,Completa,Carlos Vieira Teixeira Machado Gomes Souza,(43) 99333-4444,6," R$        649,88",Gustavo,
27/11/24,Completa,Natália Xavier Yamada Dias Esteves Teixeira,(51) 99444-5555,12," R$   1.225,65",Gustavo,
27/11/24,Completa,Gabriel Dias Cardoso Teixeira Almeida Henrique,(61) 99555-6666,18," R$   1.842,30",Gustavo,
27/11/24,Completa,Helena Oliveira Ferreira Cardoso Henrique,(71) 99666-7777,18," R$   1.822,15",Fernanda,
27/11/24,Completa,Otávio Oliveira Lopes Xavier Rodrigues Barros,(81) 99777-8888,12," R$   1.235,19",Fernanda,
28/11/24,Completa,Igor Silva Yamada Oliveira Nogueira,(91) 99888-9999,6," R$        648,45",Gustavo,
28/11/24,Completa,Helena Rodrigues Lopes Vieira Yamada Farias,(11) 99123-9876,12," R$   1.247,80",Fernanda,
29/11/24,Completa,Kleber Campos Zanetti Oliveira,(21) 99234-8765,6," R$        622,10",Fernanda,
29/11/24,Completa,Natália Esteves Gomes Henrique Cardoso,(43) 99345-7654,18," R$   1.833,88",Fernanda,
30/11/24,Completa,Carlos Almeida Pereira Vieira Zanetti Yamada,(51) 99456-6543,12," R$   1.236,66",Gustavo,
2/12/24,Completa,Rafael Vieira Campos Uchoa Queiroz Cardoso,(61) 99567-5432,12," R$   1.249,40",Fernanda,
2/12/24,Completa,Vanessa Gomes Jardim Uchoa Oliveira Krause,(71) 99678-4321,18," R$   1.842,61",Gustavo,
2/12/24,Completa,Bruno Machado Yamada Esteves Barros,(81) 99789-3210,6," R$        633,41",Gustavo,
3/12/24,Completa,Fernanda Teixeira Yamada Cardoso Souza Esteves,(91) 99890-2109,18," R$   1.896,80",Gustavo,
4/12/24,Completa,Daniela Jardim Ibrahim Costa Souza,(11) 99111-1111,12," R$   1.238,90",Gustavo,
5/12/24,Completa,Thiago Wanderley Jardim Pereira Souza,(21) 99222-2222,18," R$   1.838,02",Gustavo,
5/12/24,Completa,Vanessa Gomes Cardoso Costa Krause Yamada,(43) 99333-3333,12," R$   1.215,18",Gustavo,
5/12/24,Completa,Fernanda Gomes Ferreira Dias Lopes Ibrahim,(51) 99444-4444,18," R$   1.867,80",Gustavo,
6/12/24,Completa,Larissa Esteves Teixeira Lopes Ferreira,(61) 99555-5555,12," R$   1.241,20",Thiago,
6/12/24,Completa,Ana Jardim Barros Souza,(71) 99666-6666,12," R$   1.215,52",Gustavo,
8/12/24,Completa,Vanessa Gomes Costa Queiroz,(81) 99777-7777,12," R$   1.230,86",Fernanda,
9/12/24,Completa,Carlos Dias Teixeira Yamada Oliveira,(91) 99888-8888,12," R$   1.210,79",Fernanda,
10/12/24,Completa,Bruno Barros Nogueira Queiroz,(11) 99123-4567,18," R$   1.891,30",Gustavo,
11/12/24,Completa,Vanessa Rodrigues Barros Campos Oliveira,(12) 99234-5678,12," R$   1.244,15",Gustavo,
11/12/24,Completa,Larissa Ibrahim Costa Krause,(13) 99345-6789,6," R$        625,50",Gustavo,
11/12/24,Completa,Carlos Teixeira Barros Machado Nogueira Rodrigues,(14) 99456-7890,12," R$   1.240,43",Gustavo,
12/12/24,Completa,Simone Esteves Ibrahim Rodrigues,(15) 99567-8901,12," R$   1.214,58",Gustavo,
12/12/24,Completa,Gabriel Zanetti Queiroz Yamada,(16) 99678-9012,18," R$   1.848,40",Gustavo,
12/12/24,Completa,Bruno Machado Oliveira Henrique,(17) 99789-0123,12," R$   1.219,75",Gustavo,
16/12/24,Completa,Gabriel Lopes Barros Silva Xavier,(18) 99890-1234,12," R$   1.227,71",Gustavo,
16/12/24,Completa,Patrícia Henrique Esteves Yamada Wanderley,(19) 99111-2222,18," R$   1.833,30",Gustavo,
17/12/24,Completa,Igor Esteves Jardim Uchoa,(21) 99222-3333,18," R$   1.849,63",Gustavo,
17/12/24,Completa,Kleber Teixeira Jardim Pereira,(22) 99333-4444,18," R$   1.834,62",Gustavo,
18/12/24,Completa,Patrícia Esteves Machado Jardim,(24) 99444-5555,12," R$   1.244,79",Gustavo,
18/12/24,Completa,Helena Xavier Machado Nogueira Wanderley,(27) 99555-6666,6," R$        644,22",Gustavo,
19/12/24,Completa,Natália Henrique Xavier Nogueira Esteves Cardoso,(28) 99666-7777,18," R$   1.834,28",Gustavo,
20/12/24,Completa,Natália Xavier Campos Gomes,(31) 99777-8888,18," R$   1.827,00",Gustavo,
22/12/24,Completa,Otávio Ferreira Nogueira Yamada Esteves,(32) 99888-9999,6," R$        614,76",Gustavo,
23/12/24,Completa,Patrícia Dias Rodrigues Krause,(33) 99123-9876,6," R$        650,50",Gustavo,
23/12/24,Completa,Igor Henrique Costa Nogueira Souza,(34) 99234-8765,12," R$   1.210,60",Gustavo,
24/12/24,Completa,Thiago Henrique Cardoso Krause,(35) 99345-7654,6," R$        638,67",Gustavo,
24/12/24,Completa,Eduardo Pereira Souza Barros Costa,(37) 99456-6543,12," R$   1.212,72",Gustavo,
25/12/24,Completa,Kleber Silva Wanderley Costa Krause,(38) 99567-5432,18," R$   1.834,70",Gustavo,
26/12/24,Completa,Rafael Rodrigues Almeida Wanderley Silva,(41) 99678-4321,18," R$   1.822,98",Gustavo,
26/12/24,Completa,Bruno Pereira Vieira Wanderley Costa,(42) 99789-3210,12," R$   1.241,81",Gustavo,
29/12/24,Completa,Marcos Queiroz Ferreira Ibrahim Xavier Cardoso,(43) 99890-2109,12," R$   1.247,30",Gustavo,
29/12/24,Completa,Natália Zanetti Silva Ferreira Costa,(44) 99111-1111,18," R$   1.843,54",Gustavo,
03/01/25,Completa,Fernanda Almeida Jardim Gomes,(45) 99222-2222,12," R$   1.211,78",Gustavo,
09/01/25,Completa,Daniela Zanetti Oliveira Silva Teixeira,(46) 99333-3333,6," R$        614,21",Fernanda,
10/01/25,Completa,Vanessa Cardoso Campos Souza Almeida Costa,(47) 99444-4444,6," R$        642,66",Gustavo,
14/01/25,Completa,Fernanda Barros Machado Xavier Gomes,(48) 99555-5555,12," R$   1.238,09",Thiago,
15/01/25,Completa,Eduardo Ferreira Souza Yamada,(49) 99666-6666,12," R$   1.278,50",Thiago,
16/01/25,Completa,Vanessa Cardoso Yamada Wanderley Costa,(51) 99777-7777,6," R$        643,80",Gustavo,
16/01/25,Completa,Rafael Nogueira Costa Almeida,(53) 99888-8888,6," R$        636,09",Gustavo,
18/01/25,Completa,Vanessa Gomes Dias Esteves,(54) 99123-4567,6," R$        632,36",Gustavo,
